0,1
12.87234,3.62299
13.91074,4.694889
14.91222,5.696368
15.9823,6.766453
16.68269,7.500103
17.18511,8.036117
17.18511,9.204402
17.1553,10.23463
17.1553,11.24345
17.1553,12.15622
17.1553,13.26507
17.1553,14.33377
16.18068,14.33377
15.12253,14.33377
14.19966,14.33377
13.29576,14.33377
12.19262,14.70545
11.72075,14.70545
10.62272,14.70545
9.550129,15.74391
8.365144,15.74391
7.229892,15.74391
5.985132,14.46586
4.784015,13.29879
5.809554,12.30673
6.656697,12.30673
6.656697,11.29757
6.656697,9.293468
8.075599,9.293468
8.850136,9.618441
8.850136,7.513073
7.71862,6.38156
6.848592,5.578642
5.883137,6.75139
